,Unnamed: 0,USO_id,RMS,LUFS,dbFS,dist_group,centroid,flatness,onset_slope,time_cog,spectral_slope,centroid_control,onset_delay,onset_delay_avg
112,N_uso_300ms_25_room-10-35-3_dist-2500.wav,25,56.2085,-25.39664,-37.78219,5.0,4941.25744,0.14992,123.29578,0.30126,-4.58472,9781.01857,0.07304,
113,N_uso_300ms_25_room-10-35-3_dist-180.wav,25,54.77597,-24.99997,-39.20711,2.0,7718.53103,0.24407,125.20676,0.21142,-19.29577,9781.01857,0.00549,
114,N_uso_300ms_17_room-10-35-3_dist-171.wav,17,53.48284,-25.0,-40.50983,2.0,5941.07403,0.06174,145.62802,0.19197,-7.97356,6556.91326,0.00524,0.00549
115,N_uso_300ms_27_room-10-35-3_dist-450.wav,27,54.30119,-24.99999,-39.67942,3.0,3741.93887,0.0436,213.67425,0.18706,-14.28343,4314.0991,0.01333,0.01478
116,N_uso_300ms_3_room-10-35-3_dist-21.wav,3,53.90495,-24.99997,-40.0981,1.0,4728.80301,0.16458,121.58317,0.16025,-13.14458,6425.33807,2e-05,5e-05
117,N_uso_300ms_11_room-10-35-3_dist-18.wav,11,54.22061,-25.00002,-39.78221,1.0,11996.63535,0.35956,180.3466,0.19045,-15.96881,13178.0649,0.00073,0.00079
118,N_uso_300ms_7_room-10-35-3_dist-550.wav,7,56.82034,-25.00001,-37.16788,3.0,2805.87677,0.02708,148.60188,0.2053,-5.86299,4387.34448,0.01621,0.01476
119,N_uso_300ms_22_room-10-35-3_dist-19.wav,22,54.59162,-24.99996,-39.40286,1.0,8184.11175,0.25606,99.76704,0.11766,-19.94714,11799.12829,0.00077,0.00081
120,N_uso_300ms_7_room-10-35-3_dist-20.wav,7,56.20157,-25.00001,-37.78219,1.0,3652.55976,0.04931,163.45814,0.18195,-6.16748,4387.34448,0.00079,0.00079
121,N_uso_300ms_10_room-10-35-3_dist-2500.wav,10,55.24013,-25.43721,-38.75916,5.0,6879.60513,0.08097,179.73929,0.2887,-9.5726,9079.78731,0.07299,0.07299
122,N_uso_300ms_18_room-10-35-3_dist-162.wav,18,55.12513,-24.35287,-38.87482,2.0,11397.99529,0.31603,156.0197,0.18204,-20.77146,13061.88952,0.00492,0.00544
123,N_uso_300ms_27_room-10-35-3_dist-2250.wav,27,54.86588,-25.55654,-39.13483,5.0,3265.38337,0.03024,201.53368,0.22306,-9.45781,4314.0991,0.03472,0.03853
124,N_uso_300ms_18_room-10-35-3_dist-189.wav,18,55.17214,-24.99999,-38.82837,2.0,11129.0634,0.31698,160.60447,0.18301,-20.32246,13061.88952,0.00571,0.00544
125,N_uso_300ms_5_room-10-35-3_dist-525.wav,5,56.27845,-25.0,-37.72081,3.0,7050.68541,0.22048,233.75029,0.25225,-11.81625,12763.95584,0.01549,0.01476
